molecule,region,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
SA_DICH_00003.mol,SAF,3,2,0,2,0,9,0,-2,204.225,5.459,447.104,151.1,296.004,0,0,722.003,6,6,0.0412768,0.0328714,0.8705275,16.962,8.271,17.962,15.521,-3.203,0.815,0.94,-1.464,0.062,-1.786,0.028,-10.236,9.886,-0.946,6,-1.278,1,0,0,0,147.242,6,1,0,0,0,0,14,1,0
SA_EUPH_00001.mol,SAF,0,0,0,0,0,1,2,0,356.418,8.005,586.034,268.992,90.85,226.192,0,1081.218,0,5.5,0.0592594,0,0.8693298,38.634,10.561,16.504,8.483,3.307,-4.28,-4.711,-4.725,1362.596,-0.298,691.17,-2.301,9.459,0.747,4,0.243,3,100,0,0,77.995,5,0,19,0,19,8,26,0,0.094
SA_EUPH_00002.mol,SAF,0,0,0,0,0,4,1,1,316.439,3.37,517.579,343.7,39.733,134.146,0,1001.392,0,4.5,0.0113441,0,0.9352426,32.634,9.136,12.87,5.698,3.519,-3.018,-3.837,-3.22,4160.144,0.02,2309.579,-1.395,9.16,-0.571,2,0.151,3,100,0,0,46.911,3,0,16,3,13,10,23,0,12.223
SA_EUPH_00003.mol,SAF,0,0,0,2,0,5,1,-1,362.422,2.8,530.302,289.841,105.214,135.247,0,1033.801,1,5.5,0.007583,0.0103714,0.9323944,33.3,10.099,15.346,8.41,3.983,-3.208,-4.516,0.344,63.879,-0.545,40.922,-2.502,9.443,-0.3,2,-0.122,3,82.578,0,0,93.011,6,0,16,3,13,10,26,0,0.707
SA_EUPH_00004.mol,SAF,0,0,0,0,0,3,1,1,330.423,4.14,520.703,344.412,37.175,139.116,0,988.723,0,5.5,0.0173365,0,0.9217743,32.817,8.962,13.542,6.927,2.973,-2.716,-3.785,-3.461,4399.165,0.091,2453.336,-1.427,9.238,-0.499,2,-0.11,3,100,0,0,52.981,4,0,19,3,16,11,24,0,23.78
SA_EUPH_00005.mol,SAF,0,0,0,0,0,1,1,1,374.433,3.474,548.823,389.212,40.728,118.883,0,1065.843,0,7.5,0.0113205,0,0.9194511,36.994,9.512,16.081,9.292,2.453,-2.528,-3.787,-3.402,4070.794,0.182,2256.01,-1.755,9.416,-0.335,2,-0.337,3,100,0,0,71.866,6,0,20,3,17,12,27,0,19.52
SA_EUPH_00006.mol,SAF,0,0,0,0,0,4,1,0,344.45,2.94,579.294,366.523,63.497,149.275,0,1095.828,0,4.5,0.0078898,0,0.8873485,36.558,10.017,14.237,6.111,3.988,-4.187,-4.681,-4.067,2476.046,-0.215,1318.125,-1.78,9.635,0.238,3,0.426,3,100,0,0,64.258,4,0,15,0,15,8,25,0,0.371
SA_EUPH_00007.mol,SAF,0,0,0,1,0,4,0,-1,330.423,2.602,528.814,273.553,105.66,149.601,0,1009.809,1,4.5,0.0067057,0.0085096,0.9204949,33.119,9.926,14.745,7.743,3.829,-3.738,-4.512,-1.724,249.762,-0.509,140.471,-2.556,9.626,0.22,3,0.199,3,92.274,0,0,78.233,4,0,15,0,15,8,24,0,0.192
SA_EUPH_00007.mol,SAF,0,0,0,1,0,4,0,-1,330.423,3.201,525.772,271.112,105.604,149.056,0,1011.433,1,4.5,0.0101326,0.0085588,0.9268134,33.179,9.972,14.831,7.731,3.837,-3.693,-4.512,-1.62,250.07,-0.497,140.658,-2.557,9.642,0.242,3,0.206,3,92.331,0,0,78.218,4,0,15,0,15,8,24,0,0.216
SA_EUPH_00008.mol,SAF,0,0,0,1,0,4,0,-1,328.407,5.724,533.437,209.074,117.953,206.411,0,1004.102,1,4.5,0.0326303,0.0084359,0.9090765,33.433,10.302,15.329,8.224,3.785,-3.78,-4.6,-2.18,190.966,-0.629,105.096,-2.582,9.33,0.347,3,0.179,3,89.933,0,0,78.302,4,0,15,0,15,6,24,0,0.149
